"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 3: South","CENS-R3","Alabama","01","2016","2016","Other bacterial diseases","A30-A49",281,4863300,5.8
,"Census Region 3: South","CENS-R3","Alabama","01","2016","2016","Renal failure","N17-N19",281,4863300,5.8
"Total","Census Region 3: South","CENS-R3","Alabama","01","2016","2016",,,562,4863300,11.6
,"Census Region 3: South","CENS-R3","Alabama","01","2017","2017","Other bacterial diseases","A30-A49",285,4874747,5.8
,"Census Region 3: South","CENS-R3","Alabama","01","2017","2017","Renal failure","N17-N19",289,4874747,5.9
"Total","Census Region 3: South","CENS-R3","Alabama","01","2017","2017",,,574,4874747,11.8
"Total","Census Region 3: South","CENS-R3","Alabama","01",,,,,4884,38684624,12.6
,"Census Region 3: South","CENS-R3","Kentucky","21","2010","2010","Other bacterial diseases","A30-A49",356,4339367,8.2
,"Census Region 3: South","CENS-R3","Kentucky","21","2010","2010","Renal failure","N17-N19",356,4339367,8.2
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2010","2010",,,712,4339367,16.4
,"Census Region 3: South","CENS-R3","Kentucky","21","2011","2011","Other bacterial diseases","A30-A49",364,4369356,8.3
,"Census Region 3: South","CENS-R3","Kentucky","21","2011","2011","Renal failure","N17-N19",367,4369356,8.4
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2011","2011",,,731,4369356,16.7
,"Census Region 3: South","CENS-R3","Kentucky","21","2012","2012","Other bacterial diseases","A30-A49",357,4380415,8.1
,"Census Region 3: South","CENS-R3","Kentucky","21","2012","2012","Renal failure","N17-N19",358,4380415,8.2
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2012","2012",,,715,4380415,16.3
,"Census Region 3: South","CENS-R3","Kentucky","21","2013","2013","Other bacterial diseases","A30-A49",295,4395295,6.7
,"Census Region 3: South","CENS-R3","Kentucky","21","2013","2013","Renal failure","N17-N19",296,4395295,6.7
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2013","2013",,,591,4395295,13.4
,"Census Region 3: South","CENS-R3","Kentucky","21","2014","2014","Other bacterial diseases","A30-A49",358,4413457,8.1
,"Census Region 3: South","CENS-R3","Kentucky","21","2014","2014","Renal failure","N17-N19",359,4413457,8.1
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2014","2014",,,717,4413457,16.2
,"Census Region 3: South","CENS-R3","Kentucky","21","2015","2015","Other bacterial diseases","A30-A49",482,4425092,10.9
,"Census Region 3: South","CENS-R3","Kentucky","21","2015","2015","Renal failure","N17-N19",487,4425092,11.0
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2015","2015",,,969,4425092,21.9
,"Census Region 3: South","CENS-R3","Kentucky","21","2016","2016","Other bacterial diseases","A30-A49",450,4436974,10.1
,"Census Region 3: South","CENS-R3","Kentucky","21","2016","2016","Renal failure","N17-N19",457,4436974,10.3
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2016","2016",,,907,4436974,20.4
,"Census Region 3: South","CENS-R3","Kentucky","21","2017","2017","Other bacterial diseases","A30-A49",452,4454189,10.1
,"Census Region 3: South","CENS-R3","Kentucky","21","2017","2017","Renal failure","N17-N19",463,4454189,10.4
"Total","Census Region 3: South","CENS-R3","Kentucky","21","2017","2017",,,915,4454189,20.5
"Total","Census Region 3: South","CENS-R3","Kentucky","21",,,,,6257,35214145,17.8
,"Census Region 3: South","CENS-R3","Mississippi","28","2010","2010","Other bacterial diseases","A30-A49",153,2967297,5.2
,"Census Region 3: South","CENS-R3","Mississippi","28","2010","2010","Renal failure","N17-N19",154,2967297,5.2
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2010","2010",,,307,2967297,10.3
,"Census Region 3: South","CENS-R3","Mississippi","28","2011","2011","Other bacterial diseases","A30-A49",193,2978512,6.5
,"Census Region 3: South","CENS-R3","Mississippi","28","2011","2011","Renal failure","N17-N19",196,2978512,6.6
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2011","2011",,,389,2978512,13.1
,"Census Region 3: South","CENS-R3","Mississippi","28","2012","2012","Other bacterial diseases","A30-A49",143,2984926,4.8
,"Census Region 3: South","CENS-R3","Mississippi","28","2012","2012","Renal failure","N17-N19",143,2984926,4.8
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2012","2012",,,286,2984926,9.6
,"Census Region 3: South","CENS-R3","Mississippi","28","2013","2013","Other bacterial diseases","A30-A49",195,2991207,6.5
,"Census Region 3: South","CENS-R3","Mississippi","28","2013","2013","Renal failure","N17-N19",196,2991207,6.6
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2013","2013",,,391,2991207,13.1
,"Census Region 3: South","CENS-R3","Mississippi","28","2014","2014","Other bacterial diseases","A30-A49",211,2994079,7.0
,"Census Region 3: South","CENS-R3","Mississippi","28","2014","2014","Renal failure","N17-N19",213,2994079,7.1
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2014","2014",,,424,2994079,14.2
,"Census Region 3: South","CENS-R3","Mississippi","28","2015","2015","Other bacterial diseases","A30-A49",227,2992333,7.6
,"Census Region 3: South","CENS-R3","Mississippi","28","2015","2015","Renal failure","N17-N19",228,2992333,7.6
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2015","2015",,,455,2992333,15.2
,"Census Region 3: South","CENS-R3","Mississippi","28","2016","2016","Other bacterial diseases","A30-A49",177,2988726,5.9
,"Census Region 3: South","CENS-R3","Mississippi","28","2016","2016","Renal failure","N17-N19",178,2988726,6.0
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2016","2016",,,355,2988726,11.9
,"Census Region 3: South","CENS-R3","Mississippi","28","2017","2017","Other bacterial diseases","A30-A49",202,2984100,6.8
,"Census Region 3: South","CENS-R3","Mississippi","28","2017","2017","Renal failure","N17-N19",202,2984100,6.8
"Total","Census Region 3: South","CENS-R3","Mississippi","28","2017","2017",,,404,2984100,13.5
"Total","Census Region 3: South","CENS-R3","Mississippi","28",,,,,3011,23881180,12.6
,"Census Region 3: South","CENS-R3","Tennessee","47","2010","2010","Other bacterial diseases","A30-A49",455,6346105,7.2
,"Census Region 3: South","CENS-R3","Tennessee","47","2010","2010","Renal failure","N17-N19",458,6346105,7.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2010","2010",,,913,6346105,14.4
,"Census Region 3: South","CENS-R3","Tennessee","47","2011","2011","Other bacterial diseases","A30-A49",450,6403353,7.0
,"Census Region 3: South","CENS-R3","Tennessee","47","2011","2011","Renal failure","N17-N19",453,6403353,7.1
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2011","2011",,,903,6403353,14.1
,"Census Region 3: South","CENS-R3","Tennessee","47","2012","2012","Other bacterial diseases","A30-A49",439,6456243,6.8
,"Census Region 3: South","CENS-R3","Tennessee","47","2012","2012","Renal failure","N17-N19",437,6456243,6.8
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2012","2012",,,876,6456243,13.6
,"Census Region 3: South","CENS-R3","Tennessee","47","2013","2013","Other bacterial diseases","A30-A49",407,6495978,6.3
,"Census Region 3: South","CENS-R3","Tennessee","47","2013","2013","Renal failure","N17-N19",409,6495978,6.3
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2013","2013",,,816,6495978,12.6
,"Census Region 3: South","CENS-R3","Tennessee","47","2014","2014","Other bacterial diseases","A30-A49",405,6549352,6.2
,"Census Region 3: South","CENS-R3","Tennessee","47","2014","2014","Renal failure","N17-N19",405,6549352,6.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2014","2014",,,810,6549352,12.4
,"Census Region 3: South","CENS-R3","Tennessee","47","2015","2015","Other bacterial diseases","A30-A49",402,6600299,6.1
,"Census Region 3: South","CENS-R3","Tennessee","47","2015","2015","Renal failure","N17-N19",408,6600299,6.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2015","2015",,,810,6600299,12.3
,"Census Region 3: South","CENS-R3","Tennessee","47","2016","2016","Other bacterial diseases","A30-A49",421,6651194,6.3
,"Census Region 3: South","CENS-R3","Tennessee","47","2016","2016","Renal failure","N17-N19",423,6651194,6.4
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2016","2016",,,844,6651194,12.7
,"Census Region 3: South","CENS-R3","Tennessee","47","2017","2017","Other bacterial diseases","A30-A49",409,6715984,6.1
,"Census Region 3: South","CENS-R3","Tennessee","47","2017","2017","Renal failure","N17-N19",410,6715984,6.1
"Total","Census Region 3: South","CENS-R3","Tennessee","47","2017","2017",,,819,6715984,12.2
"Total","Census Region 3: South","CENS-R3","Tennessee","47",,,,,6791,52218508,13.0
,"Census Region 3: South","CENS-R3","Arkansas","05","2010","2010","Other bacterial diseases","A30-A49",151,2915918,5.2
,"Census Region 3: South","CENS-R3","Arkansas","05","2010","2010","Renal failure","N17-N19",151,2915918,5.2
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2010","2010",,,302,2915918,10.4
,"Census Region 3: South","CENS-R3","Arkansas","05","2011","2011","Other bacterial diseases","A30-A49",169,2937979,5.8
,"Census Region 3: South","CENS-R3","Arkansas","05","2011","2011","Renal failure","N17-N19",169,2937979,5.8
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2011","2011",,,338,2937979,11.5
,"Census Region 3: South","CENS-R3","Arkansas","05","2012","2012","Other bacterial diseases","A30-A49",196,2949131,6.6
,"Census Region 3: South","CENS-R3","Arkansas","05","2012","2012","Renal failure","N17-N19",197,2949131,6.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2012","2012",,,393,2949131,13.3
,"Census Region 3: South","CENS-R3","Arkansas","05","2013","2013","Other bacterial diseases","A30-A49",241,2959373,8.1
,"Census Region 3: South","CENS-R3","Arkansas","05","2013","2013","Renal failure","N17-N19",243,2959373,8.2
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2013","2013",,,484,2959373,16.4
,"Census Region 3: South","CENS-R3","Arkansas","05","2014","2014","Other bacterial diseases","A30-A49",227,2966369,7.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2014","2014","Renal failure","N17-N19",228,2966369,7.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2014","2014",,,455,2966369,15.3
,"Census Region 3: South","CENS-R3","Arkansas","05","2015","2015","Other bacterial diseases","A30-A49",258,2978204,8.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2015","2015","Renal failure","N17-N19",259,2978204,8.7
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2015","2015",,,517,2978204,17.4
,"Census Region 3: South","CENS-R3","Arkansas","05","2016","2016","Other bacterial diseases","A30-A49",265,2988248,8.9
,"Census Region 3: South","CENS-R3","Arkansas","05","2016","2016","Renal failure","N17-N19",265,2988248,8.9
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2016","2016",,,530,2988248,17.7
,"Census Region 3: South","CENS-R3","Arkansas","05","2017","2017","Other bacterial diseases","A30-A49",251,3004279,8.4
,"Census Region 3: South","CENS-R3","Arkansas","05","2017","2017","Renal failure","N17-N19",259,3004279,8.6
"Total","Census Region 3: South","CENS-R3","Arkansas","05","2017","2017",,,510,3004279,17.0
"Total","Census Region 3: South","CENS-R3","Arkansas","05",,,,,3529,23699501,14.9
,"Census Region 3: South","CENS-R3","Louisiana","22","2010","2010","Other bacterial diseases","A30-A49",226,4533372,5.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2010","2010","Renal failure","N17-N19",228,4533372,5.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2010","2010",,,454,4533372,10.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2011","2011","Other bacterial diseases","A30-A49",223,4574836,4.9
,"Census Region 3: South","CENS-R3","Louisiana","22","2011","2011","Renal failure","N17-N19",223,4574836,4.9
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2011","2011",,,446,4574836,9.7
,"Census Region 3: South","CENS-R3","Louisiana","22","2012","2012","Other bacterial diseases","A30-A49",186,4601893,4.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2012","2012","Renal failure","N17-N19",186,4601893,4.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2012","2012",,,372,4601893,8.1
,"Census Region 3: South","CENS-R3","Louisiana","22","2013","2013","Other bacterial diseases","A30-A49",220,4625470,4.8
,"Census Region 3: South","CENS-R3","Louisiana","22","2013","2013","Renal failure","N17-N19",220,4625470,4.8
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2013","2013",,,440,4625470,9.5
,"Census Region 3: South","CENS-R3","Louisiana","22","2014","2014","Other bacterial diseases","A30-A49",213,4649676,4.6
,"Census Region 3: South","CENS-R3","Louisiana","22","2014","2014","Renal failure","N17-N19",213,4649676,4.6
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2014","2014",,,426,4649676,9.2
,"Census Region 3: South","CENS-R3","Louisiana","22","2015","2015","Other bacterial diseases","A30-A49",205,4670724,4.4
,"Census Region 3: South","CENS-R3","Louisiana","22","2015","2015","Renal failure","N17-N19",205,4670724,4.4
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2015","2015",,,410,4670724,8.8
,"Census Region 3: South","CENS-R3","Louisiana","22","2016","2016","Other bacterial diseases","A30-A49",202,4681666,4.3
,"Census Region 3: South","CENS-R3","Louisiana","22","2016","2016","Renal failure","N17-N19",204,4681666,4.4
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2016","2016",,,406,4681666,8.7
,"Census Region 3: South","CENS-R3","Louisiana","22","2017","2017","Other bacterial diseases","A30-A49",233,4684333,5.0
,"Census Region 3: South","CENS-R3","Louisiana","22","2017","2017","Renal failure","N17-N19",234,4684333,5.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22","2017","2017",,,467,4684333,10.0
"Total","Census Region 3: South","CENS-R3","Louisiana","22",,,,,3421,37021970,9.2
,"Census Region 3: South","CENS-R3","Oklahoma","40","2010","2010","Other bacterial diseases","A30-A49",261,3751351,7.0
,"Census Region 3: South","CENS-R3","Oklahoma","40","2010","2010","Renal failure","N17-N19",262,3751351,7.0
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2010","2010",,,523,3751351,13.9
,"Census Region 3: South","CENS-R3","Oklahoma","40","2011","2011","Other bacterial diseases","A30-A49",236,3791508,6.2
,"Census Region 3: South","CENS-R3","Oklahoma","40","2011","2011","Renal failure","N17-N19",236,3791508,6.2
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2011","2011",,,472,3791508,12.4
,"Census Region 3: South","CENS-R3","Oklahoma","40","2012","2012","Other bacterial diseases","A30-A49",275,3814820,7.2
,"Census Region 3: South","CENS-R3","Oklahoma","40","2012","2012","Renal failure","N17-N19",277,3814820,7.3
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2012","2012",,,552,3814820,14.5
,"Census Region 3: South","CENS-R3","Oklahoma","40","2013","2013","Other bacterial diseases","A30-A49",298,3850568,7.7
,"Census Region 3: South","CENS-R3","Oklahoma","40","2013","2013","Renal failure","N17-N19",299,3850568,7.8
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2013","2013",,,597,3850568,15.5
,"Census Region 3: South","CENS-R3","Oklahoma","40","2014","2014","Other bacterial diseases","A30-A49",255,3878051,6.6
,"Census Region 3: South","CENS-R3","Oklahoma","40","2014","2014","Renal failure","N17-N19",259,3878051,6.7
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2014","2014",,,514,3878051,13.3
,"Census Region 3: South","CENS-R3","Oklahoma","40","2015","2015","Other bacterial diseases","A30-A49",225,3911338,5.8
,"Census Region 3: South","CENS-R3","Oklahoma","40","2015","2015","Renal failure","N17-N19",226,3911338,5.8
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2015","2015",,,451,3911338,11.5
,"Census Region 3: South","CENS-R3","Oklahoma","40","2016","2016","Other bacterial diseases","A30-A49",261,3923561,6.7
,"Census Region 3: South","CENS-R3","Oklahoma","40","2016","2016","Renal failure","N17-N19",263,3923561,6.7
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2016","2016",,,524,3923561,13.4
,"Census Region 3: South","CENS-R3","Oklahoma","40","2017","2017","Other bacterial diseases","A30-A49",242,3930864,6.2
,"Census Region 3: South","CENS-R3","Oklahoma","40","2017","2017","Renal failure","N17-N19",247,3930864,6.3
"Total","Census Region 3: South","CENS-R3","Oklahoma","40","2017","2017",,,489,3930864,12.4
"Total","Census Region 3: South","CENS-R3","Oklahoma","40",,,,,4122,30852061,13.4
,"Census Region 3: South","CENS-R3","Texas","48","2010","2010","Other bacterial diseases","A30-A49",1527,25145561,6.1
,"Census Region 3: South","CENS-R3","Texas","48","2010","2010","Renal failure","N17-N19",1540,25145561,6.1
"Total","Census Region 3: South","CENS-R3","Texas","48","2010","2010",,,3067,25145561,12.2
,"Census Region 3: South","CENS-R3","Texas","48","2011","2011","Other bacterial diseases","A30-A49",1453,25674681,5.7
,"Census Region 3: South","CENS-R3","Texas","48","2011","2011","Renal failure","N17-N19",1468,25674681,5.7
"Total","Census Region 3: South","CENS-R3","Texas","48","2011","2011",,,2921,25674681,11.4
,"Census Region 3: South","CENS-R3","Texas","48","2012","2012","Other bacterial diseases","A30-A49",1500,26059203,5.8
,"Census Region 3: South","CENS-R3","Texas","48","2012","2012","Renal failure","N17-N19",1519,26059203,5.8
"Total","Census Region 3: South","CENS-R3","Texas","48","2012","2012",,,3019,26059203,11.6
,"Census Region 3: South","CENS-R3","Texas","48","2013","2013","Other bacterial diseases","A30-A49",1836,26448193,6.9
,"Census Region 3: South","CENS-R3","Texas","48","2013","2013","Renal failure","N17-N19",1851,26448193,7.0
"Total","Census Region 3: South","CENS-R3","Texas","48","2013","2013",,,3687,26448193,13.9
,"Census Region 3: South","CENS-R3","Texas","48","2014","2014","Other bacterial diseases","A30-A49",2155,26956958,8.0
,"Census Region 3: South","CENS-R3","Texas","48","2014","2014","Renal failure","N17-N19",2191,26956958,8.1
"Total","Census Region 3: South","CENS-R3","Texas","48","2014","2014",,,4346,26956958,16.1
,"Census Region 3: South","CENS-R3","Texas","48","2015","2015","Other bacterial diseases","A30-A49",2438,27469114,8.9
,"Census Region 3: South","CENS-R3","Texas","48","2015","2015","Renal failure","N17-N19",2489,27469114,9.1
"Total","Census Region 3: South","CENS-R3","Texas","48","2015","2015",,,4927,27469114,17.9
,"Census Region 3: South","CENS-R3","Texas","48","2016","2016","Other bacterial diseases","A30-A49",2380,27862596,8.5
,"Census Region 3: South","CENS-R3","Texas","48","2016","2016","Renal failure","N17-N19",2452,27862596,8.8
"Total","Census Region 3: South","CENS-R3","Texas","48","2016","2016",,,4832,27862596,17.3
,"Census Region 3: South","CENS-R3","Texas","48","2017","2017","Other bacterial diseases","A30-A49",2552,28304596,9.0
,"Census Region 3: South","CENS-R3","Texas","48","2017","2017","Renal failure","N17-N19",2636,28304596,9.3
"Total","Census Region 3: South","CENS-R3","Texas","48","2017","2017",,,5188,28304596,18.3
"Total","Census Region 3: South","CENS-R3","Texas","48",,,,,31987,213920902,15.0
"Total","Census Region 3: South","CENS-R3",,,,,,,115763,953176133,12.1
,"Census Region 4: West","CENS-R4","Arizona","04","2010","2010","Other bacterial diseases","A30-A49",273,6392017,4.3
,"Census Region 4: West","CENS-R4","Arizona","04","2010","2010","Renal failure","N17-N19",277,6392017,4.3
"Total","Census Region 4: West","CENS-R4","Arizona","04","2010","2010",,,550,6392017,8.6
,"Census Region 4: West","CENS-R4","Arizona","04","2011","2011","Other bacterial diseases","A30-A49",270,6482505,4.2
,"Census Region 4: West","CENS-R4","Arizona","04","2011","2011","Renal failure","N17-N19",278,6482505,4.3
"Total","Census Region 4: West","CENS-R4","Arizona","04","2011","2011",,,548,6482505,8.5
,"Census Region 4: West","CENS-R4","Arizona","04","2012","2012","Other bacterial diseases","A30-A49",247,6553255,3.8
,"Census Region 4: West","CENS-R4","Arizona","04","2012","2012","Renal failure","N17-N19",247,6553255,3.8
"Total","Census Region 4: West","CENS-R4","Arizona","04","2012","2012",,,494,6553255,7.5
,"Census Region 4: West","CENS-R4","Arizona","04","2013","2013","Other bacterial diseases","A30-A49",317,6626624,4.8
,"Census Region 4: West","CENS-R4","Arizona","04","2013","2013","Renal failure","N17-N19",324,6626624,4.9
"Total","Census Region 4: West","CENS-R4","Arizona","04","2013","2013",,,641,6626624,9.7
,"Census Region 4: West","CENS-R4","Arizona","04","2014","2014","Other bacterial diseases","A30-A49",345,6731484,5.1
,"Census Region 4: West","CENS-R4","Arizona","04","2014","2014","Renal failure","N17-N19",347,6731484,5.2
"Total","Census Region 4: West","CENS-R4","Arizona","04","2014","2014",,,692,6731484,10.3
,"Census Region 4: West","CENS-R4","Arizona","04","2015","2015","Other bacterial diseases","A30-A49",409,6828065,6.0
,"Census Region 4: West","CENS-R4","Arizona","04","2015","2015","Renal failure","N17-N19",409,6828065,6.0
"Total","Census Region 4: West","CENS-R4","Arizona","04","2015","2015",,,818,6828065,12.0
,"Census Region 4: West","CENS-R4","Arizona","04","2016","2016","Other bacterial diseases","A30-A49",403,6931071,5.8
,"Census Region 4: West","CENS-R4","Arizona","04","2016","2016","Renal failure","N17-N19",409,6931071,5.9
"Total","Census Region 4: West","CENS-R4","Arizona","04","2016","2016",,,812,6931071,11.7
,"Census Region 4: West","CENS-R4","Arizona","04","2017","2017","Other bacterial diseases","A30-A49",335,7016270,4.8
,"Census Region 4: West","CENS-R4","Arizona","04","2017","2017","Renal failure","N17-N19",335,7016270,4.8
"Total","Census Region 4: West","CENS-R4","Arizona","04","2017","2017",,,670,7016270,9.5
"Total","Census Region 4: West","CENS-R4","Arizona","04",,,,,5225,53561291,9.8
,"Census Region 4: West","CENS-R4","Colorado","08","2010","2010","Other bacterial diseases","A30-A49",95,5029196,1.9
,"Census Region 4: West","CENS-R4","Colorado","08","2010","2010","Renal failure","N17-N19",95,5029196,1.9
"Total","Census Region 4: West","CENS-R4","Colorado","08","2010","2010",,,190,5029196,3.8
,"Census Region 4: West","CENS-R4","Colorado","08","2011","2011","Other bacterial diseases","A30-A49",97,5116796,1.9
,"Census Region 4: West","CENS-R4","Colorado","08","2011","2011","Renal failure","N17-N19",97,5116796,1.9
"Total","Census Region 4: West","CENS-R4","Colorado","08","2011","2011",,,194,5116796,3.8
,"Census Region 4: West","CENS-R4","Colorado","08","2012","2012","Other bacterial diseases","A30-A49",87,5187582,1.7
,"Census Region 4: West","CENS-R4","Colorado","08","2012","2012","Renal failure","N17-N19",87,5187582,1.7
"Total","Census Region 4: West","CENS-R4","Colorado","08","2012","2012",,,174,5187582,3.4
,"Census Region 4: West","CENS-R4","Colorado","08","2013","2013","Other bacterial diseases","A30-A49",115,5268367,2.2
,"Census Region 4: West","CENS-R4","Colorado","08","2013","2013","Renal failure","N17-N19",115,5268367,2.2
"Total","Census Region 4: West","CENS-R4","Colorado","08","2013","2013",,,230,5268367,4.4
,"Census Region 4: West","CENS-R4","Colorado","08","2014","2014","Other bacterial diseases","A30-A49",142,5355866,2.7
,"Census Region 4: West","CENS-R4","Colorado","08","2014","2014","Renal failure","N17-N19",142,5355866,2.7
"Total","Census Region 4: West","CENS-R4","Colorado","08","2014","2014",,,284,5355866,5.3
,"Census Region 4: West","CENS-R4","Colorado","08","2015","2015","Other bacterial diseases","A30-A49",135,5456574,2.5
,"Census Region 4: West","CENS-R4","Colorado","08","2015","2015","Renal failure","N17-N19",135,5456574,2.5
"Total","Census Region 4: West","CENS-R4","Colorado","08","2015","2015",,,270,5456574,4.9
,"Census Region 4: West","CENS-R4","Colorado","08","2016","2016","Other bacterial diseases","A30-A49",171,5540545,3.1
,"Census Region 4: West","CENS-R4","Colorado","08","2016","2016","Renal failure","N17-N19",172,5540545,3.1
"Total","Census Region 4: West","CENS-R4","Colorado","08","2016","2016",,,343,5540545,6.2
,"Census Region 4: West","CENS-R4","Colorado","08","2017","2017","Other bacterial diseases","A30-A49",233,5607154,4.2
,"Census Region 4: West","CENS-R4","Colorado","08","2017","2017","Renal failure","N17-N19",237,5607154,4.2
"Total","Census Region 4: West","CENS-R4","Colorado","08","2017","2017",,,470,5607154,8.4
"Total","Census Region 4: West","CENS-R4","Colorado","08",,,,,2155,42562080,5.1
,"Census Region 4: West","CENS-R4","Idaho","16","2010","2010","Other bacterial diseases","A30-A49",44,1567582,2.8
,"Census Region 4: West","CENS-R4","Idaho","16","2010","2010","Renal failure","N17-N19",44,1567582,2.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2010","2010",,,88,1567582,5.6
,"Census Region 4: West","CENS-R4","Idaho","16","2011","2011","Other bacterial diseases","A30-A49",59,1584985,3.7
,"Census Region 4: West","CENS-R4","Idaho","16","2011","2011","Renal failure","N17-N19",60,1584985,3.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2011","2011",,,119,1584985,7.5
,"Census Region 4: West","CENS-R4","Idaho","16","2012","2012","Other bacterial diseases","A30-A49",60,1595728,3.8
,"Census Region 4: West","CENS-R4","Idaho","16","2012","2012","Renal failure","N17-N19",61,1595728,3.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2012","2012",,,121,1595728,7.6
,"Census Region 4: West","CENS-R4","Idaho","16","2013","2013","Other bacterial diseases","A30-A49",60,1612136,3.7
,"Census Region 4: West","CENS-R4","Idaho","16","2013","2013","Renal failure","N17-N19",62,1612136,3.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2013","2013",,,122,1612136,7.6
,"Census Region 4: West","CENS-R4","Idaho","16","2014","2014","Other bacterial diseases","A30-A49",61,1634464,3.7
,"Census Region 4: West","CENS-R4","Idaho","16","2014","2014","Renal failure","N17-N19",61,1634464,3.7
"Total","Census Region 4: West","CENS-R4","Idaho","16","2014","2014",,,122,1634464,7.5
,"Census Region 4: West","CENS-R4","Idaho","16","2015","2015","Other bacterial diseases","A30-A49",60,1654930,3.6
,"Census Region 4: West","CENS-R4","Idaho","16","2015","2015","Renal failure","N17-N19",63,1654930,3.8
"Total","Census Region 4: West","CENS-R4","Idaho","16","2015","2015",,,123,1654930,7.4
,"Census Region 4: West","CENS-R4","Idaho","16","2016","2016","Other bacterial diseases","A30-A49",52,1683140,3.1
,"Census Region 4: West","CENS-R4","Idaho","16","2016","2016","Renal failure","N17-N19",55,1683140,3.3
"Total","Census Region 4: West","CENS-R4","Idaho","16","2016","2016",,,107,1683140,6.4
,"Census Region 4: West","CENS-R4","Idaho","16","2017","2017","Other bacterial diseases","A30-A49",72,1716943,4.2
,"Census Region 4: West","CENS-R4","Idaho","16","2017","2017","Renal failure","N17-N19",77,1716943,4.5
"Total","Census Region 4: West","CENS-R4","Idaho","16","2017","2017",,,149,1716943,8.7
"Total","Census Region 4: West","CENS-R4","Idaho","16",,,,,951,13049908,7.3
,"Census Region 4: West","CENS-R4","Montana","30","2010","2010","Other bacterial diseases","A30-A49",31,989415,3.1
,"Census Region 4: West","CENS-R4","Montana","30","2010","2010","Renal failure","N17-N19",32,989415,3.2
"Total","Census Region 4: West","CENS-R4","Montana","30","2010","2010",,,63,989415,6.4
,"Census Region 4: West","CENS-R4","Montana","30","2011","2011","Other bacterial diseases","A30-A49",32,998199,3.2
,"Census Region 4: West","CENS-R4","Montana","30","2011","2011","Renal failure","N17-N19",32,998199,3.2
"Total","Census Region 4: West","CENS-R4","Montana","30","2011","2011",,,64,998199,6.4
,"Census Region 4: West","CENS-R4","Montana","30","2012","2012","Other bacterial diseases","A30-A49",34,1005141,3.4
,"Census Region 4: West","CENS-R4","Montana","30","2012","2012","Renal failure","N17-N19",34,1005141,3.4
"Total","Census Region 4: West","CENS-R4","Montana","30","2012","2012",,,68,1005141,6.8
,"Census Region 4: West","CENS-R4","Montana","30","2013","2013","Other bacterial diseases","A30-A49",45,1015165,4.4
