"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014","Renal failure","N17-N19",646,12787209,5.1
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014",,,1291,12787209,10.1
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015","Other bacterial diseases","A30-A49",684,12802503,5.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015","Renal failure","N17-N19",688,12802503,5.4
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015",,,1372,12802503,10.7
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016","Other bacterial diseases","A30-A49",695,12784227,5.4
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016","Renal failure","N17-N19",699,12784227,5.5
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016",,,1394,12784227,10.9
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017","Other bacterial diseases","A30-A49",665,12805537,5.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017","Renal failure","N17-N19",670,12805537,5.2
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017",,,1335,12805537,10.4
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42",,,,,10865,102162078,10.6
"Total","Census Region 1: Northeast","CENS-R1",,,,,,,39103,447659317,8.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010","Other bacterial diseases","A30-A49",572,12830632,4.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010","Renal failure","N17-N19",572,12830632,4.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010",,,1144,12830632,8.9
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011","Other bacterial diseases","A30-A49",575,12869257,4.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011","Renal failure","N17-N19",578,12869257,4.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011",,,1153,12869257,9.0
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012","Other bacterial diseases","A30-A49",534,12875255,4.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012","Renal failure","N17-N19",536,12875255,4.2
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012",,,1070,12875255,8.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013","Other bacterial diseases","A30-A49",532,12882135,4.1
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013","Renal failure","N17-N19",533,12882135,4.1
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013",,,1065,12882135,8.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014","Other bacterial diseases","A30-A49",617,12880580,4.8
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014","Renal failure","N17-N19",621,12880580,4.8
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014",,,1238,12880580,9.6
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015","Other bacterial diseases","A30-A49",606,12859995,4.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015","Renal failure","N17-N19",609,12859995,4.7
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015",,,1215,12859995,9.4
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016","Other bacterial diseases","A30-A49",574,12801539,4.5
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016","Renal failure","N17-N19",575,12801539,4.5
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016",,,1149,12801539,9.0
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017","Other bacterial diseases","A30-A49",543,12802023,4.2
