"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 4: West","CENS-R4","Nevada","32","2013","2013","Other bacterial diseases","A30-A49",1459,2790136,52.3,50.8
"Total","Census Region 4: West","CENS-R4","Nevada","32","2013","2013",,,1459,2790136,52.3,50.8
,"Census Region 4: West","CENS-R4","Nevada","32","2014","2014","Other bacterial diseases","A30-A49",1574,2839099,55.4,52.7
"Total","Census Region 4: West","CENS-R4","Nevada","32","2014","2014",,,1574,2839099,55.4,52.7
,"Census Region 4: West","CENS-R4","Nevada","32","2015","2015","Other bacterial diseases","A30-A49",1675,2890845,57.9,54.5
"Total","Census Region 4: West","CENS-R4","Nevada","32","2015","2015",,,1675,2890845,57.9,54.5
,"Census Region 4: West","CENS-R4","Nevada","32","2016","2016","Other bacterial diseases","A30-A49",1887,2940058,64.2,59.0
"Total","Census Region 4: West","CENS-R4","Nevada","32","2016","2016",,,1887,2940058,64.2,59.0
,"Census Region 4: West","CENS-R4","Nevada","32","2017","2017","Other bacterial diseases","A30-A49",2023,2998039,67.5,60.9
"Total","Census Region 4: West","CENS-R4","Nevada","32","2017","2017",,,2023,2998039,67.5,60.9
"Total","Census Region 4: West","CENS-R4","Nevada","32",,,,,12809,22640981,56.6,54.8
,"Census Region 4: West","CENS-R4","New Mexico","35","2010","2010","Other bacterial diseases","A30-A49",967,2059179,47.0,44.8
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2010","2010",,,967,2059179,47.0,44.8
,"Census Region 4: West","CENS-R4","New Mexico","35","2011","2011","Other bacterial diseases","A30-A49",1051,2082224,50.5,47.2
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2011","2011",,,1051,2082224,50.5,47.2
,"Census Region 4: West","CENS-R4","New Mexico","35","2012","2012","Other bacterial diseases","A30-A49",1041,2085538,49.9,45.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2012","2012",,,1041,2085538,49.9,45.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2013","2013","Other bacterial diseases","A30-A49",1057,2085287,50.7,45.5
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2013","2013",,,1057,2085287,50.7,45.5
,"Census Region 4: West","CENS-R4","New Mexico","35","2014","2014","Other bacterial diseases","A30-A49",1166,2085572,55.9,49.4
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2014","2014",,,1166,2085572,55.9,49.4
,"Census Region 4: West","CENS-R4","New Mexico","35","2015","2015","Other bacterial diseases","A30-A49",1215,2085109,58.3,50.7
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2015","2015",,,1215,2085109,58.3,50.7
,"Census Region 4: West","CENS-R4","New Mexico","35","2016","2016","Other bacterial diseases","A30-A49",1241,2081015,59.6,50.6
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2016","2016",,,1241,2081015,59.6,50.6
,"Census Region 4: West","CENS-R4","New Mexico","35","2017","2017","Other bacterial diseases","A30-A49",1270,2088070,60.8,50.9
"Total","Census Region 4: West","CENS-R4","New Mexico","35","2017","2017",,,1270,2088070,60.8,50.9
"Total","Census Region 4: West","CENS-R4","New Mexico","35",,,,,9008,16651994,54.1,48.1
,"Census Region 4: West","CENS-R4","Utah","49","2010","2010","Other bacterial diseases","A30-A49",650,2763885,23.5,30.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2010","2010",,,650,2763885,23.5,30.9
,"Census Region 4: West","CENS-R4","Utah","49","2011","2011","Other bacterial diseases","A30-A49",799,2817222,28.4,36.6
"Total","Census Region 4: West","CENS-R4","Utah","49","2011","2011",,,799,2817222,28.4,36.6
,"Census Region 4: West","CENS-R4","Utah","49","2012","2012","Other bacterial diseases","A30-A49",803,2855287,28.1,35.7
"Total","Census Region 4: West","CENS-R4","Utah","49","2012","2012",,,803,2855287,28.1,35.7
,"Census Region 4: West","CENS-R4","Utah","49","2013","2013","Other bacterial diseases","A30-A49",907,2900872,31.3,39.8
"Total","Census Region 4: West","CENS-R4","Utah","49","2013","2013",,,907,2900872,31.3,39.8
,"Census Region 4: West","CENS-R4","Utah","49","2014","2014","Other bacterial diseases","A30-A49",899,2942902,30.5,38.5
"Total","Census Region 4: West","CENS-R4","Utah","49","2014","2014",,,899,2942902,30.5,38.5
,"Census Region 4: West","CENS-R4","Utah","49","2015","2015","Other bacterial diseases","A30-A49",991,2995919,33.1,40.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2015","2015",,,991,2995919,33.1,40.9
,"Census Region 4: West","CENS-R4","Utah","49","2016","2016","Other bacterial diseases","A30-A49",1150,3051217,37.7,45.9
"Total","Census Region 4: West","CENS-R4","Utah","49","2016","2016",,,1150,3051217,37.7,45.9
,"Census Region 4: West","CENS-R4","Utah","49","2017","2017","Other bacterial diseases","A30-A49",1164,3101833,37.5,45.2
"Total","Census Region 4: West","CENS-R4","Utah","49","2017","2017",,,1164,3101833,37.5,45.2
"Total","Census Region 4: West","CENS-R4","Utah","49",,,,,7363,23429137,31.4,39.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2010","2010","Other bacterial diseases","A30-A49",199,563626,35.3,34.2
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2010","2010",,,199,563626,35.3,34.2
,"Census Region 4: West","CENS-R4","Wyoming","56","2011","2011","Other bacterial diseases","A30-A49",190,568158,33.4,32.0
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2011","2011",,,190,568158,33.4,32.0
,"Census Region 4: West","CENS-R4","Wyoming","56","2012","2012","Other bacterial diseases","A30-A49",208,576412,36.1,34.5
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2012","2012",,,208,576412,36.1,34.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2013","2013","Other bacterial diseases","A30-A49",241,582658,41.4,38.2
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2013","2013",,,241,582658,41.4,38.2
,"Census Region 4: West","CENS-R4","Wyoming","56","2014","2014","Other bacterial diseases","A30-A49",261,584153,44.7,41.1
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2014","2014",,,261,584153,44.7,41.1
,"Census Region 4: West","CENS-R4","Wyoming","56","2015","2015","Other bacterial diseases","A30-A49",275,586107,46.9,43.0
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2015","2015",,,275,586107,46.9,43.0
,"Census Region 4: West","CENS-R4","Wyoming","56","2016","2016","Other bacterial diseases","A30-A49",332,585501,56.7,50.5
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2016","2016",,,332,585501,56.7,50.5
,"Census Region 4: West","CENS-R4","Wyoming","56","2017","2017","Other bacterial diseases","A30-A49",339,579315,58.5,49.9
"Total","Census Region 4: West","CENS-R4","Wyoming","56","2017","2017",,,339,579315,58.5,49.9
"Total","Census Region 4: West","CENS-R4","Wyoming","56",,,,,2045,4625930,44.2,40.7
,"Census Region 4: West","CENS-R4","Alaska","02","2010","2010","Other bacterial diseases","A30-A49",179,710231,25.2,37.4
"Total","Census Region 4: West","CENS-R4","Alaska","02","2010","2010",,,179,710231,25.2,37.4
,"Census Region 4: West","CENS-R4","Alaska","02","2011","2011","Other bacterial diseases","A30-A49",199,722718,27.5,38.2
"Total","Census Region 4: West","CENS-R4","Alaska","02","2011","2011",,,199,722718,27.5,38.2
,"Census Region 4: West","CENS-R4","Alaska","02","2012","2012","Other bacterial diseases","A30-A49",205,731449,28.0,39.4
"Total","Census Region 4: West","CENS-R4","Alaska","02","2012","2012",,,205,731449,28.0,39.4
,"Census Region 4: West","CENS-R4","Alaska","02","2013","2013","Other bacterial diseases","A30-A49",188,735132,25.6,35.1
"Total","Census Region 4: West","CENS-R4","Alaska","02","2013","2013",,,188,735132,25.6,35.1
,"Census Region 4: West","CENS-R4","Alaska","02","2014","2014","Other bacterial diseases","A30-A49",218,736732,29.6,38.7
"Total","Census Region 4: West","CENS-R4","Alaska","02","2014","2014",,,218,736732,29.6,38.7
,"Census Region 4: West","CENS-R4","Alaska","02","2015","2015","Other bacterial diseases","A30-A49",213,738432,28.8,38.9
"Total","Census Region 4: West","CENS-R4","Alaska","02","2015","2015",,,213,738432,28.8,38.9
,"Census Region 4: West","CENS-R4","Alaska","02","2016","2016","Other bacterial diseases","A30-A49",261,741894,35.2,43.6
"Total","Census Region 4: West","CENS-R4","Alaska","02","2016","2016",,,261,741894,35.2,43.6
,"Census Region 4: West","CENS-R4","Alaska","02","2017","2017","Other bacterial diseases","A30-A49",247,739795,33.4,39.9
"Total","Census Region 4: West","CENS-R4","Alaska","02","2017","2017",,,247,739795,33.4,39.9
"Total","Census Region 4: West","CENS-R4","Alaska","02",,,,,1710,5856383,29.2,38.9
,"Census Region 4: West","CENS-R4","California","06","2010","2010","Other bacterial diseases","A30-A49",17395,37253956,46.7,48.3
"Total","Census Region 4: West","CENS-R4","California","06","2010","2010",,,17395,37253956,46.7,48.3
,"Census Region 4: West","CENS-R4","California","06","2011","2011","Other bacterial diseases","A30-A49",18126,37691912,48.1,48.6
"Total","Census Region 4: West","CENS-R4","California","06","2011","2011",,,18126,37691912,48.1,48.6
,"Census Region 4: West","CENS-R4","California","06","2012","2012","Other bacterial diseases","A30-A49",18047,38041430,47.4,47.1
"Total","Census Region 4: West","CENS-R4","California","06","2012","2012",,,18047,38041430,47.4,47.1
,"Census Region 4: West","CENS-R4","California","06","2013","2013","Other bacterial diseases","A30-A49",18811,38332521,49.1,47.8
"Total","Census Region 4: West","CENS-R4","California","06","2013","2013",,,18811,38332521,49.1,47.8
,"Census Region 4: West","CENS-R4","California","06","2014","2014","Other bacterial diseases","A30-A49",19220,38802500,49.5,47.4
"Total","Census Region 4: West","CENS-R4","California","06","2014","2014",,,19220,38802500,49.5,47.4
,"Census Region 4: West","CENS-R4","California","06","2015","2015","Other bacterial diseases","A30-A49",21136,39144818,54.0,50.7
"Total","Census Region 4: West","CENS-R4","California","06","2015","2015",,,21136,39144818,54.0,50.7
,"Census Region 4: West","CENS-R4","California","06","2016","2016","Other bacterial diseases","A30-A49",21517,39250017,54.8,50.6
"Total","Census Region 4: West","CENS-R4","California","06","2016","2016",,,21517,39250017,54.8,50.6
,"Census Region 4: West","CENS-R4","California","06","2017","2017","Other bacterial diseases","A30-A49",22301,39536653,56.4,51.4
"Total","Census Region 4: West","CENS-R4","California","06","2017","2017",,,22301,39536653,56.4,51.4
"Total","Census Region 4: West","CENS-R4","California","06",,,,,156553,308053807,50.8,49.0
,"Census Region 4: West","CENS-R4","Hawaii","15","2010","2010","Other bacterial diseases","A30-A49",585,1360301,43.0,35.9
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2010","2010",,,585,1360301,43.0,35.9
,"Census Region 4: West","CENS-R4","Hawaii","15","2011","2011","Other bacterial diseases","A30-A49",541,1374810,39.4,32.8
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2011","2011",,,541,1374810,39.4,32.8
,"Census Region 4: West","CENS-R4","Hawaii","15","2012","2012","Other bacterial diseases","A30-A49",541,1392313,38.9,31.1
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2012","2012",,,541,1392313,38.9,31.1
,"Census Region 4: West","CENS-R4","Hawaii","15","2013","2013","Other bacterial diseases","A30-A49",560,1404054,39.9,32.4
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2013","2013",,,560,1404054,39.9,32.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2014","2014","Other bacterial diseases","A30-A49",523,1419561,36.8,28.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2014","2014",,,523,1419561,36.8,28.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2015","2015","Other bacterial diseases","A30-A49",527,1431603,36.8,28.4
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2015","2015",,,527,1431603,36.8,28.4
,"Census Region 4: West","CENS-R4","Hawaii","15","2016","2016","Other bacterial diseases","A30-A49",599,1428557,41.9,32.1
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2016","2016",,,599,1428557,41.9,32.1
,"Census Region 4: West","CENS-R4","Hawaii","15","2017","2017","Other bacterial diseases","A30-A49",599,1427538,42.0,31.6
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2017","2017",,,599,1427538,42.0,31.6
"Total","Census Region 4: West","CENS-R4","Hawaii","15",,,,,4475,11238737,39.8,31.5
,"Census Region 4: West","CENS-R4","Oregon","41","2010","2010","Other bacterial diseases","A30-A49",1372,3831074,35.8,30.9
"Total","Census Region 4: West","CENS-R4","Oregon","41","2010","2010",,,1372,3831074,35.8,30.9
,"Census Region 4: West","CENS-R4","Oregon","41","2011","2011","Other bacterial diseases","A30-A49",1381,3871859,35.7,30.7
"Total","Census Region 4: West","CENS-R4","Oregon","41","2011","2011",,,1381,3871859,35.7,30.7
,"Census Region 4: West","CENS-R4","Oregon","41","2012","2012","Other bacterial diseases","A30-A49",1462,3899353,37.5,31.2
"Total","Census Region 4: West","CENS-R4","Oregon","41","2012","2012",,,1462,3899353,37.5,31.2
,"Census Region 4: West","CENS-R4","Oregon","41","2013","2013","Other bacterial diseases","A30-A49",1619,3930065,41.2,34.2
"Total","Census Region 4: West","CENS-R4","Oregon","41","2013","2013",,,1619,3930065,41.2,34.2
,"Census Region 4: West","CENS-R4","Oregon","41","2014","2014","Other bacterial diseases","A30-A49",1690,3970239,42.6,34.7
"Total","Census Region 4: West","CENS-R4","Oregon","41","2014","2014",,,1690,3970239,42.6,34.7
,"Census Region 4: West","CENS-R4","Oregon","41","2015","2015","Other bacterial diseases","A30-A49",1869,4028977,46.4,37.6
"Total","Census Region 4: West","CENS-R4","Oregon","41","2015","2015",,,1869,4028977,46.4,37.6
,"Census Region 4: West","CENS-R4","Oregon","41","2016","2016","Other bacterial diseases","A30-A49",1839,4093465,44.9,35.9
"Total","Census Region 4: West","CENS-R4","Oregon","41","2016","2016",,,1839,4093465,44.9,35.9
,"Census Region 4: West","CENS-R4","Oregon","41","2017","2017","Other bacterial diseases","A30-A49",1865,4142776,45.0,36.0
"Total","Census Region 4: West","CENS-R4","Oregon","41","2017","2017",,,1865,4142776,45.0,36.0
"Total","Census Region 4: West","CENS-R4","Oregon","41",,,,,13097,31767808,41.2,34.0
,"Census Region 4: West","CENS-R4","Washington","53","2010","2010","Other bacterial diseases","A30-A49",2784,6724540,41.4,40.1
"Total","Census Region 4: West","CENS-R4","Washington","53","2010","2010",,,2784,6724540,41.4,40.1
,"Census Region 4: West","CENS-R4","Washington","53","2011","2011","Other bacterial diseases","A30-A49",2978,6830038,43.6,41.5
"Total","Census Region 4: West","CENS-R4","Washington","53","2011","2011",,,2978,6830038,43.6,41.5
,"Census Region 4: West","CENS-R4","Washington","53","2012","2012","Other bacterial diseases","A30-A49",3047,6897012,44.2,41.5
"Total","Census Region 4: West","CENS-R4","Washington","53","2012","2012",,,3047,6897012,44.2,41.5
,"Census Region 4: West","CENS-R4","Washington","53","2013","2013","Other bacterial diseases","A30-A49",3337,6971406,47.9,44.1
"Total","Census Region 4: West","CENS-R4","Washington","53","2013","2013",,,3337,6971406,47.9,44.1
,"Census Region 4: West","CENS-R4","Washington","53","2014","2014","Other bacterial diseases","A30-A49",3546,7061530,50.2,45.6
"Total","Census Region 4: West","CENS-R4","Washington","53","2014","2014",,,3546,7061530,50.2,45.6
,"Census Region 4: West","CENS-R4","Washington","53","2015","2015","Other bacterial diseases","A30-A49",3690,7170351,51.5,46.2
"Total","Census Region 4: West","CENS-R4","Washington","53","2015","2015",,,3690,7170351,51.5,46.2
,"Census Region 4: West","CENS-R4","Washington","53","2016","2016","Other bacterial diseases","A30-A49",3767,7288000,51.7,45.9
"Total","Census Region 4: West","CENS-R4","Washington","53","2016","2016",,,3767,7288000,51.7,45.9
,"Census Region 4: West","CENS-R4","Washington","53","2017","2017","Other bacterial diseases","A30-A49",4043,7405743,54.6,48.5
"Total","Census Region 4: West","CENS-R4","Washington","53","2017","2017",,,4043,7405743,54.6,48.5
"Total","Census Region 4: West","CENS-R4","Washington","53",,,,,27192,56348620,48.3,44.3
"Total","Census Region 4: West","CENS-R4",,,,,,,282265,597944137,47.2,44.6
"Total",,,,,,,,,1442446,2539502901,56.8,50.1
"---"
"Dataset: Multiple Cause of Death, 1999-2020"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Year/Month: 2010; 2011; 2012; 2013; 2014; 2015; 2016; 2017"
"Group By: Census Region; State; Year; MCD - ICD Sub-Chapter"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd.html for more information."
"---"
"Query Date: Feb 24, 2026 4:43:55 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/mcd-icd10.html on Feb 24, 2026 4:43:55 AM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2014-Revision."
"2. These items in the results table are not fully selected: Other bacterial diseases. The Query Description lists the actual"
"values selected."
"3. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#2000 Standard Population."
"4. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#Age-Adjusted Rates."
"5. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"6. The population figures for year 2020 are bridged-race estimates of the July 1 resident population, from the Vintage 2020"
"postcensal series released by NCHS on September 22, 2021. The population figures for year 2019 are bridged-race estimates of the"
"July 1 resident population, from the Vintage 2019 postcensal series released by NCHS on July 9, 2020. The population figures for"
"year 2018 are bridged-race estimates of the July 1 resident population, from the Vintage 2018 postcensal series released by NCHS"
"on June 25, 2019. The population figures for year 2017 are bridged-race estimates of the July 1 resident population, from the"
"Vintage 2017 postcensal series released by NCHS on June 27, 2018. The population figures for year 2016 are bridged-race"
"estimates of the July 1 resident population, from the Vintage 2016 postcensal series released by NCHS on June 26, 2017. The"
"population figures for year 2015 are bridged-race estimates of the July 1 resident population, from the Vintage 2015 postcensal"
"series released by NCHS on June 28, 2016. The population figures for year 2014 are bridged-race estimates of the July 1 resident"
"population, from the Vintage 2014 postcensal series released by NCHS on June 30, 2015. The population figures for year 2013 are"
"bridged-race estimates of the July 1 resident population, from the Vintage 2013 postcensal series released by NCHS on June 26,"
"2014. The population figures for year 2012 are bridged-race estimates of the July 1 resident population, from the Vintage 2012"
"postcensal series released by NCHS on June 13, 2013. Population figures for 2011 are bridged-race estimates of the July 1"
"resident population, from the county-level postcensal Vintage 2011 series released by NCHS on July 18, 2012. Population figures"
"for 2010 are April 1 Census counts. The population figures for years 2001 - 2009, are bridged-race estimates of the July 1"
"resident population, from the revised intercensal county-level 2000 - 2009 series released by NCHS on October 26, 2012."
"Population figures for 2000 are April 1 Census counts. Population figures for 1999 are from the 1990-1999 intercensal series of"
"July 1 estimates. Population figures for Infant Age Groups are the number of live births. <br/><b>Note:</b> Rates and population"
"figures for years 2001 - 2009 differ slightly from previously published reports, due to use of the population estimates which"
"were available at the time of release."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd.html#Age Group."
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Caution should be used in interpreting these data. More"
"information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"10. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd.html#ICD-10 Changes."
