"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","New York","36","2014","2014","Other bacterial diseases","A30-A49",11638,19746227,58.9,49.2
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2014","2014",,,11638,19746227,58.9,49.2
,"Census Region 1: Northeast","CENS-R1","New York","36","2015","2015","Other bacterial diseases","A30-A49",11854,19795791,59.9,49.5
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2015","2015",,,11854,19795791,59.9,49.5
,"Census Region 1: Northeast","CENS-R1","New York","36","2016","2016","Other bacterial diseases","A30-A49",11524,19745289,58.4,47.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2016","2016",,,11524,19745289,58.4,47.6
,"Census Region 1: Northeast","CENS-R1","New York","36","2017","2017","Other bacterial diseases","A30-A49",11190,19849399,56.4,44.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2017","2017",,,11190,19849399,56.4,44.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36",,,,,87122,157201393,55.4,46.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010","Other bacterial diseases","A30-A49",7876,12702379,62.0,48.6
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010",,,7876,12702379,62.0,48.6
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011","Other bacterial diseases","A30-A49",7997,12742886,62.8,48.5
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011",,,7997,12742886,62.8,48.5
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012","Other bacterial diseases","A30-A49",8055,12763536,63.1,48.2
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012",,,8055,12763536,63.1,48.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013","Other bacterial diseases","A30-A49",8358,12773801,65.4,49.2
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013",,,8358,12773801,65.4,49.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014","Other bacterial diseases","A30-A49",8412,12787209,65.8,49.0
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014",,,8412,12787209,65.8,49.0
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015","Other bacterial diseases","A30-A49",8959,12802503,70.0,51.7
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015",,,8959,12802503,70.0,51.7
