"Notes","Census Region","Census Region Code","State","State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 1: Northeast","CENS-R1","New York","36","2011","2011","Renal failure","N17-N19",3090,19465197,15.9,13.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2011","2011",,,3090,19465197,15.9,13.6
,"Census Region 1: Northeast","CENS-R1","New York","36","2012","2012","Renal failure","N17-N19",2863,19570261,14.6,12.4
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2012","2012",,,2863,19570261,14.6,12.4
,"Census Region 1: Northeast","CENS-R1","New York","36","2013","2013","Renal failure","N17-N19",2719,19651127,13.8,11.5
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2013","2013",,,2719,19651127,13.8,11.5
,"Census Region 1: Northeast","CENS-R1","New York","36","2014","2014","Renal failure","N17-N19",2564,19746227,13.0,10.7
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2014","2014",,,2564,19746227,13.0,10.7
,"Census Region 1: Northeast","CENS-R1","New York","36","2015","2015","Renal failure","N17-N19",2411,19795791,12.2,9.9
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2015","2015",,,2411,19795791,12.2,9.9
,"Census Region 1: Northeast","CENS-R1","New York","36","2016","2016","Renal failure","N17-N19",2286,19745289,11.6,9.3
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2016","2016",,,2286,19745289,11.6,9.3
,"Census Region 1: Northeast","CENS-R1","New York","36","2017","2017","Renal failure","N17-N19",2421,19849399,12.2,9.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36","2017","2017",,,2421,19849399,12.2,9.6
"Total","Census Region 1: Northeast","CENS-R1","New York","36",,,,,21398,157201393,13.6,11.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010","Renal failure","N17-N19",3060,12702379,24.1,18.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2010","2010",,,3060,12702379,24.1,18.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011","Renal failure","N17-N19",3097,12742886,24.3,18.2
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2011","2011",,,3097,12742886,24.3,18.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012","Renal failure","N17-N19",3147,12763536,24.7,18.2
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2012","2012",,,3147,12763536,24.7,18.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013","Renal failure","N17-N19",3058,12773801,23.9,17.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2013","2013",,,3058,12773801,23.9,17.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014","Renal failure","N17-N19",2867,12787209,22.4,16.2
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2014","2014",,,2867,12787209,22.4,16.2
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015","Renal failure","N17-N19",2883,12802503,22.5,16.1
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2015","2015",,,2883,12802503,22.5,16.1
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016","Renal failure","N17-N19",2923,12784227,22.9,16.3
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2016","2016",,,2923,12784227,22.9,16.3
,"Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017","Renal failure","N17-N19",2717,12805537,21.2,15.1
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42","2017","2017",,,2717,12805537,21.2,15.1
"Total","Census Region 1: Northeast","CENS-R1","Pennsylvania","42",,,,,23752,102162078,23.2,16.9
"Total","Census Region 1: Northeast","CENS-R1",,,,,,,81083,447659317,18.1,14.3
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010","Renal failure","N17-N19",2351,12830632,18.3,17.4
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2010","2010",,,2351,12830632,18.3,17.4
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011","Renal failure","N17-N19",2337,12869257,18.2,16.9
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2011","2011",,,2337,12869257,18.2,16.9
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012","Renal failure","N17-N19",2257,12875255,17.5,16.0
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2012","2012",,,2257,12875255,17.5,16.0
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013","Renal failure","N17-N19",2237,12882135,17.4,15.6
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2013","2013",,,2237,12882135,17.4,15.6
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014","Renal failure","N17-N19",2329,12880580,18.1,15.9
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2014","2014",,,2329,12880580,18.1,15.9
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015","Renal failure","N17-N19",2310,12859995,18.0,15.7
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2015","2015",,,2310,12859995,18.0,15.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016","Renal failure","N17-N19",2179,12801539,17.0,14.7
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2016","2016",,,2179,12801539,17.0,14.7
,"Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017","Renal failure","N17-N19",2054,12802023,16.0,13.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17","2017","2017",,,2054,12802023,16.0,13.3
"Total","Census Region 2: Midwest","CENS-R2","Illinois","17",,,,,18054,102801416,17.6,15.7
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010","Renal failure","N17-N19",1468,6483802,22.6,21.2
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2010","2010",,,1468,6483802,22.6,21.2
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011","Renal failure","N17-N19",1882,6516922,28.9,26.6
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2011","2011",,,1882,6516922,28.9,26.6
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012","Renal failure","N17-N19",1959,6537334,30.0,27.3
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2012","2012",,,1959,6537334,30.0,27.3
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013","Renal failure","N17-N19",2085,6570902,31.7,28.4
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2013","2013",,,2085,6570902,31.7,28.4
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014","Renal failure","N17-N19",2067,6596855,31.3,27.8
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2014","2014",,,2067,6596855,31.3,27.8
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015","Renal failure","N17-N19",2063,6619680,31.2,27.2
"Total","Census Region 2: Midwest","CENS-R2","Indiana","18","2015","2015",,,2063,6619680,31.2,27.2
,"Census Region 2: Midwest","CENS-R2","Indiana","18","2016","2016","Renal failure","N17-N19",2070,6633053,31.2,27.1
