"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Age Adjusted Rate
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2019","2019","Renal failure","N17-N19",460,1934408,23.8,19.5
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2020","2020","Renal failure","N17-N19",522,1937552,26.9,21.7
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2021","2021","Renal failure","N17-N19",697,1963692,35.5,30.0
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2022","2022","Renal failure","N17-N19",868,1967923,44.1,36.2
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2023","2023","Renal failure","N17-N19",810,1978379,40.9,33.6
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2024 (provisional)","2024","Renal failure","N17-N19",913,2005465,45.5,37.2
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2025 (provisional and partial)","2025","Renal failure","N17-N19",795,2005465,39.6,32.5
,"Census Region 2: Midwest","CENS-R2","Nebraska","31","2026 (provisional and partial)","2026","Renal failure","N17-N19",43,2005465,2.1,1.8
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2018","2018","Renal failure","N17-N19",195,760077,25.7,20.9
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2019","2019","Renal failure","N17-N19",186,762062,24.4,20.1
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2020","2020","Renal failure","N17-N19",273,765309,35.7,28.9
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2021","2021","Renal failure","N17-N19",282,774948,36.4,31.2
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2022","2022","Renal failure","N17-N19",307,779261,39.4,32.4
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2023","2023","Renal failure","N17-N19",284,783926,36.2,29.5
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2024 (provisional)","2024","Renal failure","N17-N19",315,796568,39.5,32.0
,"Census Region 2: Midwest","CENS-R2","North Dakota","38","2025 (provisional and partial)","2025","Renal failure","N17-N19",276,796568,34.6,28.7
