"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2023","2023","Renal failure","N17-N19","55-59 years","55-59",2166,20606257,10.5,10.1,11.0
,"2023","2023","Renal failure","N17-N19","60-64 years ","60-64",3437,21248154,16.2,15.6,16.7
,"2023","2023","Renal failure","N17-N19","65-69 years","65-69",4299,19150728,22.4,21.8,23.1
,"2023","2023","Renal failure","N17-N19","70-74 years","70-74",4997,15534556,32.2,31.3,33.1
,"2023","2023","Renal failure","N17-N19","75-79 years","75-79",5575,11387417,49.0,47.7,50.2
,"2023","2023","Renal failure","N17-N19","80-84 years","80-84",4938,6980680,70.7,68.8,72.7
,"2023","2023","Renal failure","N17-N19","85-89 years","85-89",4053,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","90-94 years","90-94",2428,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","95-99 years","95-99",835,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2023","2023","Renal failure","N17-N19","100+ years","100+",133,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2023","2023","Renal failure","N17-N19",,,36672,334914895,10.9,10.8,11.1
"Total","2023","2023",,,,,72845,334914895,21.8,21.6,21.9
,"2024","2024","Other bacterial diseases","A30-A49","< 1 year","1",29,3615598,0.8,0.5,1.2
,"2024","2024","Other bacterial diseases","A30-A49","1-4 years","1-4",11,14983716,0.1,0.0,0.1
,"2024","2024","Other bacterial diseases","A30-A49","10-14 years","10-14",11,20901154,0.1,0.0,0.1
,"2024","2024","Other bacterial diseases","A30-A49","15-19 years","15-19",18,22375825,0.1,0.0,0.1
,"2024","2024","Other bacterial diseases","A30-A49","20-24 years","20-24",51,22421936,0.2,0.2,0.3
,"2024","2024","Other bacterial diseases","A30-A49","25-29 years","25-29",123,22459876,0.5,0.5,0.6
,"2024","2024","Other bacterial diseases","A30-A49","30-34 years","30-34",276,23993988,1.2,1.0,1.3
,"2024","2024","Other bacterial diseases","A30-A49","35-39 years","35-39",384,23170072,1.7,1.5,1.8
,"2024","2024","Other bacterial diseases","A30-A49","40-44 years","40-44",547,22369152,2.4,2.2,2.7
