"Notes","Residence Census Region","Residence Census Region Code","Residence State","Residence State Code","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval
"Total","Census Region 4: West","CENS-R4","Alaska","02","2022","2022",,,384,733583,52.3,47.1,57.6,53.7,48.3,59.7
,"Census Region 4: West","CENS-R4","Alaska","02","2023","2023","Other bacterial diseases","A30-A49",359,733406,48.9,43.9,54.0,48.8,43.7,54.5
"Total","Census Region 4: West","CENS-R4","Alaska","02","2023","2023",,,359,733406,48.9,43.9,54.0,48.8,43.7,54.5
,"Census Region 4: West","CENS-R4","Alaska","02","2024","2024","Other bacterial diseases","A30-A49",319,740133,43.1,38.4,47.8,42.4,37.7,47.6
"Total","Census Region 4: West","CENS-R4","Alaska","02","2024","2024",,,319,740133,43.1,38.4,47.8,42.4,37.7,47.6
,"Census Region 4: West","CENS-R4","Alaska","02","2025 (provisional)","2025","Other bacterial diseases","A30-A49",316,740133,42.7,38.0,47.4,42.6,37.8,47.8
"Total","Census Region 4: West","CENS-R4","Alaska","02","2025 (provisional)","2025",,,316,740133,42.7,38.0,47.4,42.6,37.8,47.8
,"Census Region 4: West","CENS-R4","Alaska","02","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",14,740133,1.9,1.0,3.2,2.0,1.1,3.6
"Total","Census Region 4: West","CENS-R4","Alaska","02","2026 (provisional and partial)","2026",,,14,740133,1.9,1.0,3.2,2.0,1.1,3.6
"Total","Census Region 4: West","CENS-R4","Alaska","02",,,,,2570,6620202,38.8,37.3,40.3,40.9,39.3,42.6
,"Census Region 4: West","CENS-R4","California","06","2018","2018","Other bacterial diseases","A30-A49",22410,39557045,56.7,55.9,57.4,50.6,49.9,51.3
"Total","Census Region 4: West","CENS-R4","California","06","2018","2018",,,22410,39557045,56.7,55.9,57.4,50.6,49.9,51.3
,"Census Region 4: West","CENS-R4","California","06","2019","2019","Other bacterial diseases","A30-A49",21879,39512223,55.4,54.6,56.1,48.6,48.0,49.3
"Total","Census Region 4: West","CENS-R4","California","06","2019","2019",,,21879,39512223,55.4,54.6,56.1,48.6,48.0,49.3
,"Census Region 4: West","CENS-R4","California","06","2020","2020","Other bacterial diseases","A30-A49",27018,39368078,68.6,67.8,69.4,59.2,58.5,59.9
"Total","Census Region 4: West","CENS-R4","California","06","2020","2020",,,27018,39368078,68.6,67.8,69.4,59.2,58.5,59.9
,"Census Region 4: West","CENS-R4","California","06","2021","2021","Other bacterial diseases","A30-A49",29757,39237836,75.8,75.0,76.7,66.7,65.9,67.5
"Total","Census Region 4: West","CENS-R4","California","06","2021","2021",,,29757,39237836,75.8,75.0,76.7,66.7,65.9,67.5
,"Census Region 4: West","CENS-R4","California","06","2022","2022","Other bacterial diseases","A30-A49",27083,39029342,69.4,68.6,70.2,58.6,57.9,59.3
"Total","Census Region 4: West","CENS-R4","California","06","2022","2022",,,27083,39029342,69.4,68.6,70.2,58.6,57.9,59.3
,"Census Region 4: West","CENS-R4","California","06","2023","2023","Other bacterial diseases","A30-A49",25800,38965193,66.2,65.4,67.0,55.4,54.7,56.1
"Total","Census Region 4: West","CENS-R4","California","06","2023","2023",,,25800,38965193,66.2,65.4,67.0,55.4,54.7,56.1
,"Census Region 4: West","CENS-R4","California","06","2024","2024","Other bacterial diseases","A30-A49",25143,39431263,63.8,63.0,64.6,52.7,52.0,53.3
"Total","Census Region 4: West","CENS-R4","California","06","2024","2024",,,25143,39431263,63.8,63.0,64.6,52.7,52.0,53.3
,"Census Region 4: West","CENS-R4","California","06","2025 (provisional)","2025","Other bacterial diseases","A30-A49",24986,39431263,63.4,62.6,64.2,52.3,51.6,52.9
"Total","Census Region 4: West","CENS-R4","California","06","2025 (provisional)","2025",,,24986,39431263,63.4,62.6,64.2,52.3,51.6,52.9
,"Census Region 4: West","CENS-R4","California","06","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",2447,39431263,6.2,6.0,6.5,5.1,4.9,5.3
"Total","Census Region 4: West","CENS-R4","California","06","2026 (provisional and partial)","2026",,,2447,39431263,6.2,6.0,6.5,5.1,4.9,5.3
"Total","Census Region 4: West","CENS-R4","California","06",,,,,206523,353963506,58.3,58.1,58.6,49.7,49.5,49.9
,"Census Region 4: West","CENS-R4","Hawaii","15","2018","2018","Other bacterial diseases","A30-A49",573,1420491,40.3,37.0,43.6,29.7,27.2,32.3
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2018","2018",,,573,1420491,40.3,37.0,43.6,29.7,27.2,32.3
,"Census Region 4: West","CENS-R4","Hawaii","15","2019","2019","Other bacterial diseases","A30-A49",560,1415872,39.6,36.3,42.8,29.1,26.6,31.8
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2019","2019",,,560,1415872,39.6,36.3,42.8,29.1,26.6,31.8
,"Census Region 4: West","CENS-R4","Hawaii","15","2020","2020","Other bacterial diseases","A30-A49",608,1407006,43.2,39.8,46.6,31.3,28.7,34.0
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2020","2020",,,608,1407006,43.2,39.8,46.6,31.3,28.7,34.0
,"Census Region 4: West","CENS-R4","Hawaii","15","2021","2021","Other bacterial diseases","A30-A49",646,1441553,44.8,41.4,48.3,32.8,30.2,35.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2021","2021",,,646,1441553,44.8,41.4,48.3,32.8,30.2,35.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2022","2022","Other bacterial diseases","A30-A49",676,1440196,46.9,43.4,50.5,32.3,29.9,35.0
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2022","2022",,,676,1440196,46.9,43.4,50.5,32.3,29.9,35.0
,"Census Region 4: West","CENS-R4","Hawaii","15","2023","2023","Other bacterial diseases","A30-A49",688,1435138,47.9,44.4,51.5,32.8,30.3,35.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2023","2023",,,688,1435138,47.9,44.4,51.5,32.8,30.3,35.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2024","2024","Other bacterial diseases","A30-A49",664,1446146,45.9,42.4,49.4,30.5,28.2,33.1
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2024","2024",,,664,1446146,45.9,42.4,49.4,30.5,28.2,33.1
,"Census Region 4: West","CENS-R4","Hawaii","15","2025 (provisional)","2025","Other bacterial diseases","A30-A49",582,1446146,40.2,37.0,43.5,27.1,24.8,29.5
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2025 (provisional)","2025",,,582,1446146,40.2,37.0,43.5,27.1,24.8,29.5
,"Census Region 4: West","CENS-R4","Hawaii","15","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",50,1446146,3.5,2.6,4.6,2.2,1.6,2.9
"Total","Census Region 4: West","CENS-R4","Hawaii","15","2026 (provisional and partial)","2026",,,50,1446146,3.5,2.6,4.6,2.2,1.6,2.9
"Total","Census Region 4: West","CENS-R4","Hawaii","15",,,,,5047,12898694,39.1,38.0,40.2,27.4,26.6,28.2
,"Census Region 4: West","CENS-R4","Oregon","41","2018","2018","Other bacterial diseases","A30-A49",1934,4190713,46.1,44.1,48.2,36.4,34.8,38.1
"Total","Census Region 4: West","CENS-R4","Oregon","41","2018","2018",,,1934,4190713,46.1,44.1,48.2,36.4,34.8,38.1
,"Census Region 4: West","CENS-R4","Oregon","41","2019","2019","Other bacterial diseases","A30-A49",1839,4217737,43.6,41.6,45.6,33.9,32.3,35.5
"Total","Census Region 4: West","CENS-R4","Oregon","41","2019","2019",,,1839,4217737,43.6,41.6,45.6,33.9,32.3,35.5
,"Census Region 4: West","CENS-R4","Oregon","41","2020","2020","Other bacterial diseases","A30-A49",1936,4241507,45.6,43.6,47.7,35.0,33.4,36.6
"Total","Census Region 4: West","CENS-R4","Oregon","41","2020","2020",,,1936,4241507,45.6,43.6,47.7,35.0,33.4,36.6
,"Census Region 4: West","CENS-R4","Oregon","41","2021","2021","Other bacterial diseases","A30-A49",2143,4246155,50.5,48.3,52.6,39.6,37.9,41.4
"Total","Census Region 4: West","CENS-R4","Oregon","41","2021","2021",,,2143,4246155,50.5,48.3,52.6,39.6,37.9,41.4
,"Census Region 4: West","CENS-R4","Oregon","41","2022","2022","Other bacterial diseases","A30-A49",2289,4240137,54.0,51.8,56.2,40.7,39.1,42.5
"Total","Census Region 4: West","CENS-R4","Oregon","41","2022","2022",,,2289,4240137,54.0,51.8,56.2,40.7,39.1,42.5
,"Census Region 4: West","CENS-R4","Oregon","41","2023","2023","Other bacterial diseases","A30-A49",2148,4233358,50.7,48.6,52.9,38.1,36.5,39.8
"Total","Census Region 4: West","CENS-R4","Oregon","41","2023","2023",,,2148,4233358,50.7,48.6,52.9,38.1,36.5,39.8
,"Census Region 4: West","CENS-R4","Oregon","41","2024","2024","Other bacterial diseases","A30-A49",2192,4272371,51.3,49.2,53.5,37.9,36.3,39.5
"Total","Census Region 4: West","CENS-R4","Oregon","41","2024","2024",,,2192,4272371,51.3,49.2,53.5,37.9,36.3,39.5
,"Census Region 4: West","CENS-R4","Oregon","41","2025 (provisional)","2025","Other bacterial diseases","A30-A49",2060,4272371,48.2,46.1,50.3,35.3,33.8,36.9
"Total","Census Region 4: West","CENS-R4","Oregon","41","2025 (provisional)","2025",,,2060,4272371,48.2,46.1,50.3,35.3,33.8,36.9
,"Census Region 4: West","CENS-R4","Oregon","41","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",199,4272371,4.7,4.0,5.3,3.3,2.9,3.8
"Total","Census Region 4: West","CENS-R4","Oregon","41","2026 (provisional and partial)","2026",,,199,4272371,4.7,4.0,5.3,3.3,2.9,3.8
"Total","Census Region 4: West","CENS-R4","Oregon","41",,,,,16740,38186720,43.8,43.2,44.5,33.2,32.7,33.7
,"Census Region 4: West","CENS-R4","Washington","53","2018","2018","Other bacterial diseases","A30-A49",4027,7535591,53.4,51.8,55.1,46.7,45.2,48.2
"Total","Census Region 4: West","CENS-R4","Washington","53","2018","2018",,,4027,7535591,53.4,51.8,55.1,46.7,45.2,48.2
,"Census Region 4: West","CENS-R4","Washington","53","2019","2019","Other bacterial diseases","A30-A49",4009,7614893,52.6,51.0,54.3,45.2,43.8,46.6
"Total","Census Region 4: West","CENS-R4","Washington","53","2019","2019",,,4009,7614893,52.6,51.0,54.3,45.2,43.8,46.6
,"Census Region 4: West","CENS-R4","Washington","53","2020","2020","Other bacterial diseases","A30-A49",4523,7693612,58.8,57.1,60.5,50.0,48.5,51.5
"Total","Census Region 4: West","CENS-R4","Washington","53","2020","2020",,,4523,7693612,58.8,57.1,60.5,50.0,48.5,51.5
,"Census Region 4: West","CENS-R4","Washington","53","2021","2021","Other bacterial diseases","A30-A49",4990,7738692,64.5,62.7,66.3,56.3,54.7,57.9
"Total","Census Region 4: West","CENS-R4","Washington","53","2021","2021",,,4990,7738692,64.5,62.7,66.3,56.3,54.7,57.9
,"Census Region 4: West","CENS-R4","Washington","53","2022","2022","Other bacterial diseases","A30-A49",5104,7785786,65.6,63.8,67.4,54.9,53.4,56.5
"Total","Census Region 4: West","CENS-R4","Washington","53","2022","2022",,,5104,7785786,65.6,63.8,67.4,54.9,53.4,56.5
,"Census Region 4: West","CENS-R4","Washington","53","2023","2023","Other bacterial diseases","A30-A49",4664,7812880,59.7,58.0,61.4,49.9,48.5,51.4
"Total","Census Region 4: West","CENS-R4","Washington","53","2023","2023",,,4664,7812880,59.7,58.0,61.4,49.9,48.5,51.4
,"Census Region 4: West","CENS-R4","Washington","53","2024","2024","Other bacterial diseases","A30-A49",3903,7958180,49.0,47.5,50.6,40.4,39.1,41.7
"Total","Census Region 4: West","CENS-R4","Washington","53","2024","2024",,,3903,7958180,49.0,47.5,50.6,40.4,39.1,41.7
,"Census Region 4: West","CENS-R4","Washington","53","2025 (provisional)","2025","Other bacterial diseases","A30-A49",3781,7958180,47.5,46.0,49.0,38.9,37.6,40.2
"Total","Census Region 4: West","CENS-R4","Washington","53","2025 (provisional)","2025",,,3781,7958180,47.5,46.0,49.0,38.9,37.6,40.2
,"Census Region 4: West","CENS-R4","Washington","53","2026 (provisional and partial)","2026","Other bacterial diseases","A30-A49",318,7958180,4.0,3.6,4.4,3.3,2.9,3.7
"Total","Census Region 4: West","CENS-R4","Washington","53","2026 (provisional and partial)","2026",,,318,7958180,4.0,3.6,4.4,3.3,2.9,3.7
"Total","Census Region 4: West","CENS-R4","Washington","53",,,,,35319,70055994,50.4,49.9,50.9,42.5,42.0,42.9
"Total","Census Region 4: West","CENS-R4",,,,,,,371124,711350318,52.2,52.0,52.3,43.8,43.7,43.9
"Total",,,,,,,,,1842264,3005320241,61.3,61.2,61.4,48.9,48.9,49.0
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"MCD - ICD-10 Codes: A40.0 (Septicaemia due to streptococcus, group A); A40.1 (Septicaemia due to streptococcus, group B); A40.2"
"(Septicaemia due to streptococcus, group D); A40.3 (Septicaemia due to Streptococcus pneumoniae); A40.8 (Other streptococcal"
"septicaemia); A40.9 (Streptococcal septicaemia, unspecified); A41.0 (Septicaemia due to Staphylococcus aureus); A41.1"
"(Septicaemia due to other specified staphylococcus); A41.2 (Septicaemia due to unspecified staphylococcus); A41.3 (Septicaemia"
"due to Haemophilus influenzae); A41.4 (Septicaemia due to anaerobes); A41.5 (Septicaemia due to other Gram-negative organisms);"
"A41.8 (Other specified septicaemia); A41.9 (Septicaemia, unspecified)"
"Group By: Residence Census Region; Residence State; Year; MCD - ICD Sub-Chapter"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Feb 24, 2026 4:42:03 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2024,"
"and from provisional data for years 2025 and later, as compiled from data provided by the 57 vital statistics jurisdictions"
"through the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Feb 24, 2026"
"4:42:03 AM"
"---"
Footnotes:
"1. Totals and sub-totals show the frequency of the selected causes of death, which may be greater than the number of deaths."
"Note that any single death record may have up to 20 causes. More information."
"---"
Caveats:
"1. These items in the results table are not fully selected: Other bacterial diseases. The Query Description lists the actual"
"values selected."
"2. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population."
"3. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates."
"4. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"5. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"6. The population estimates for years 2022 - 2026 are from separate series of estimates based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). Each subsequent series of estimates adjusts the methodology. The"
"population figures for years 2024 and later are single-race estimates of the July 1 resident population, from the Vintage 2024"
"postcensal series released by the Census Bureau on June 26, 2025. The population figures for year 2023 are single-race estimates"
"of the July 1 resident population, from the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. The"
"population figures for year 2022 are single-race estimates of the July 1 resident population, from the Vintage 2022 postcensal"
"series released by the Census Bureau on June 22, 2023. The population figures for year 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"8. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99"
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences"
"in information available to individual states and probable errors. Deaths with the underlying cause classified with O00-O99 are"
"subject to further processing before these deaths records are considered final. Provisional deaths have not undergone full"
"processing and review and therefore should not be considered final for statistical purposes. Caution should be used in"
"interpreting these data. More information can be found at: https://www.cdc.gov/nchs/maternal-mortality/."
"9. On March 11, 2021, the 2019 mortality data on CDC WONDER was updated with the 2019 mortality data updated by NCHS on March 4,"
"2021 to include corrected information for residents of Texas affecting 5 records previously coded to cause code *U01.4,"
"Terrorism involving firearms (homicide). The underlying and multiple cause of death codes for 5 records were corrected in the"
"2019 data. Underlying and multiple cause of death codes for those 5 records were recoded to Assault (homicide) by other and"
"unspecified firearm discharge, ICD-10 code X95. The corrected final death records replaces the data released on December 22,"
"2020."
"10. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,"
"instead of the former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023,"
"and in the Vintage 2023 postcensal series released by the Census Bureau on June 27, 2024. Populations estimates for the former"
"counties are not available for 2022 and later years. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"11. After the creation of the final 2023 dataset, North Carolina updated the cause of death information for over 900 death"
"certificates to include a cause of death code indicating drug overdose (ICD-10 underlying cause-of-death codes: X40-X44,"
"X60-X64, X85, and Y10-Y14). Jurisdictions can continue to update death certificates after the closing of the mortality file. As"
"a result, users should consider that the actual death count for drug overdose deaths for North Carolina in 2023 is over 4,400"
"deaths, with a crude rate of approximately 41.0 per 100,000 population, and an age-adjusted rate of approximately 42.1 per"
"100,000 population. These deaths will not be updated on the final mortality datasets."
"12. Changes to cause of death classification affect reporting trends. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#ICD-10 Changes."
"13. Deaths related to external causes of injury or sudden death: In the provisional mortality data, causes of death classified"
"as external causes of injury (ICD-10 codes V01-Y89), sudden deaths (ICD-10 codes R95 and R96), or drug poisoning (ICD-10 codes"
"T36-T50), have the cause of death labeled as 'Data not shown due to 6 month lag to account for delays in death certificate"
"completion for certain causes of death.' For these deaths occurring 24 weeks prior to the final date in the provisional data,"
"the number of deaths and related statistics are not available by specific cause of death for ICD-10 codes V01-Y89, R95, R96, or"
"T36-T50. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#999."
"14. Deaths occurring through February 07, 2026 as of February 15, 2026."
