"Notes","Year","Year Code","MCD - ICD Sub-Chapter","MCD - ICD Sub-Chapter Code","Five-Year Age Groups","Five-Year Age Groups Code",Deaths,Population,Crude Rate
,"2013","2013","Renal failure","N17-N19","30-34 years","30-34",92,21264389,0.4
,"2013","2013","Renal failure","N17-N19","35-39 years","35-39",130,19603770,0.7
,"2013","2013","Renal failure","N17-N19","40-44 years","40-44",249,20848920,1.2
,"2013","2013","Renal failure","N17-N19","45-49 years","45-49",385,21208306,1.8
,"2013","2013","Renal failure","N17-N19","50-54 years","50-54",766,22559226,3.4
,"2013","2013","Renal failure","N17-N19","55-59 years","55-59",1058,21194430,5.0
,"2013","2013","Renal failure","N17-N19","60-64 years ","60-64",1390,18122001,7.7
,"2013","2013","Renal failure","N17-N19","65-69 years","65-69",1612,14608717,11.0
,"2013","2013","Renal failure","N17-N19","70-74 years","70-74",1792,10608049,16.9
,"2013","2013","Renal failure","N17-N19","75-79 years","75-79",2122,7677881,27.6
,"2013","2013","Renal failure","N17-N19","80-84 years","80-84",2476,5768638,42.9
,"2013","2013","Renal failure","N17-N19","85-89 years","85-89",2370,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","90-94 years","90-94",1477,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","95-99 years","95-99",470,Not Applicable,Not Applicable
,"2013","2013","Renal failure","N17-N19","100+ years","100+",65,Not Applicable,Not Applicable
"Total","2013","2013","Renal failure","N17-N19",,,16569,316128839,5.2
"Total","2013","2013",,,,,33048,316128839,10.5
,"2014","2014","Other bacterial diseases","A30-A49","15-19 years","15-19",14,21067647,Unreliable
,"2014","2014","Other bacterial diseases","A30-A49","20-24 years","20-24",25,22912174,0.1
,"2014","2014","Other bacterial diseases","A30-A49","25-29 years","25-29",55,21987938,0.3
,"2014","2014","Other bacterial diseases","A30-A49","30-34 years","30-34",90,21528566,0.4
,"2014","2014","Other bacterial diseases","A30-A49","35-39 years","35-39",143,19921650,0.7
,"2014","2014","Other bacterial diseases","A30-A49","40-44 years","40-44",264,20591483,1.3
,"2014","2014","Other bacterial diseases","A30-A49","45-49 years","45-49",442,20888042,2.1
